text,size
said-we,1
said-wednesday,1
said-well,1
said-with,1
said-yes,1
users-activity,1
users-affected,1
users-amid,1
users-are,1
users-asked,1
users-consent,1
users-deserve,1
users-find,1
users-friend,1
users-had,1
users-identities,1
users-in,1
users-it,1
users-limited,1
users-location,1
users-may,1
users-mostly,1
users-mr,1
users-none,1
users-of,1
users-personal,1
users-private,1
users-sheryl,1
users-their,1
users-those,1
users-trust,1
users-used,1
users-when,1
users-whether,1
users-who,1
users-will,1
zuckerberg-addressing,1
zuckerberg-apologizes,1
zuckerberg-asking,1
zuckerberg-for,1
zuckerberg-initially,1
zuckerberg-on,1
zuckerberg-or,1
zuckerberg-owns,1
zuckerberg-provided,1
zuckerberg-tells,1
zuckerberg-that,1
zuckerberg-the,1
zuckerberg-typically,1
zuckerberg-will,1
