text,size
facebook-apologises,6
facebook-apple,6
facebook-dazed,6
facebook-demands,6
facebook-didnt,6
facebook-does,6
facebook-facebookadvertising,6
facebook-gaming,6
facebook-implements,6
facebook-kittens4devildogs,6
facebook-lets,6
facebook-might,6
facebook-my,6
facebook-new,6
facebook-rises,6
facebook-sells,6
facebook-share,6
facebook-since,6
facebook-spies,6
facebook-stock,6
facebook-than,6
facebook-trump,6
facebook-trying,6
facebook-until,6
facebook-wanted,6
facebook-were,6
million-for,6
zuckerberg-in,6
zuckerberg-this,6
zuckerberg-will,6
cambridgeanalytica-everythingaboutyou,5
cambridgeanalytica-got,5
data-but,5
data-cambridgeanalytica,5
data-heatherika1,5
data-like,5
data-policy,5
data-shes,5
data-shows,5
data-this,5
deletefacebook-already,5
deletefacebook-are,5
deletefacebook-do,5
deletefacebook-even,5
deletefacebook-maybe,5
deletefacebook-nowfacebook,5
deletefacebook-nowplaying,5
deletefacebook-should,5
deletefacebook-themasters,5
deletefacebook-we,5
deletefacebook-what,5
deletefacebook-when,5
facebook-3,5
facebook-analytics,5
facebook-app,5
facebook-asked,5
facebook-cambridgeanalytics,5
facebook-controls,5
facebook-databreach,5
facebook-despite,5
facebook-doesnt,5
facebook-dont,5
facebook-en,5
facebook-events,5
facebook-fiasco,5
facebook-go,5
facebook-information,5
facebook-leads,5
facebook-leave,5
facebook-must,5
facebook-ourhash,5
facebook-patent,5
facebook-products,5
facebook-quietly,5
facebook-secret,5
facebook-shares,5
facebook-social,5
facebook-still,5
facebook-stories,5
facebook-targeting,5
facebook-then,5
facebook-think,5
facebook-under,5
facebook-yet,5
fix-dont,5
fix-if,5
fix-im,5
fix-like,5
fix-so,5
fix-why,5
get-my,5
million-eu,5
million-europeans,5
million-not,5
zuckerberg-admits,5
zuckerberg-as,5
zuckerberg-gets,5
zuckerberg-or,5
zuckerberg-should,5
zuckerberg-uses,5
cambridgeanalytica-accessed,4
cambridgeanalytica-didnt,4
cambridgeanalytica-in,4
cambridgeanalytica-india,4
cambridgeanalytica-markzuckerberg,4
cambridgeanalytica-personal,4
cambridgeanalytica-privacy,4
cambridgeanalytica-sherylsandberg,4
cambridgeanalytica-via,4
cambridgeanalytica-when,4
cambridgeanalytica-who,4
data-access,4
data-cnbc,4
data-controls,4
data-exposure,4
data-has,4
data-i,4
data-makes,4
data-might,4
data-mined,4
data-misuse,4
data-scraped,4
data-set,4
data-spill,4
data-use,4
data-will,4
data-yes,4
data-you,4
deletefacebook-ampamp,4
deletefacebook-cambridgeanalytica,4
deletefacebook-first,4
deletefacebook-isnt,4
deletefacebook-markzuckerberg,4
deletefacebook-more,4
deletefacebook-nbcnews,4
deletefacebook-of,4
deletefacebook-realjameswoods,4
deletefacebook-talk,4
deletefacebook-to,4
deletefacebook-twitter,4
deletefacebook-will,4
deletefacebook-yes,4
facebook-4,4
facebook-5,4
facebook-adds,4
facebook-already,4
facebook-also,4
facebook-apologizes,4
facebook-apps,4
facebook-audience,4
facebook-backs,4
facebook-become,4
facebook-community,4
facebook-control,4
facebook-danaperino,4
facebook-diamondandsilk,4
facebook-digitalmarketing,4
facebook-donated,4
facebook-even,4
facebook-everybody,4
facebook-execs,4
facebook-fanpage,4
facebook-funnels,4
facebook-gdpr,4
facebook-gets,4
facebook-got,4
facebook-hate,4
facebook-he,4
facebook-hey,4
facebook-imposes,4
facebook-last,4
facebook-launches,4
facebook-likes,4
facebook-link,4
facebook-make,4
facebook-malicious,4
facebook-messengers,4
facebook-more,4
facebook-much,4
facebook-never,4
facebook-nfacebook,4
facebook-photography,4
facebook-please,4
facebook-ppc,4
facebook-pr,4
facebook-reported,4
facebook-retargeting,4
facebook-revealed,4
facebook-rolls,4
facebook-s,4
facebook-saturdaymotivation,4
facebook-some,4
facebook-soundcloud,4
facebook-thank,4
facebook-usage,4
facebook-uses,4
facebook-using,4
facebook-video,4
facebook-watch,4
facebook-wont,4
facebook-years,4
fix-news,4
fix-reutersbiz,4
fix-still,4
fix-your,4
get-better,4
get-hospitals,4
get-ready,4
get-you,4
internet-facebook,4
internet-research,4
zuckerberg-all,4
zuckerberg-amp,4
zuckerberg-i,4
zuckerberg-long,4
zuckerberg-sent,4
zuckerberg-would,4
cambridgeanalytica-a,3
cambridgeanalytica-aiq,3
cambridgeanalytica-breach,3
cambridgeanalytica-denies,3
cambridgeanalytica-did,3
cambridgeanalytica-etc,3
cambridgeanalytica-i,3
cambridgeanalytica-i360,3
cambridgeanalytica-mess,3
cambridgeanalytica-news,3
cambridgeanalytica-not,3
cambridgeanalytica-now,3
cambridgeanalytica-office,3
cambridgeanalytica-scl,3
cambridgeanalytica-skripalcase,3
cambridgeanalytica-story,3
cambridgeanalytica-used,3
cambridgeanalytica-watch,3
cambridgeanalytica-why,3
data-as,3
data-at,3
data-check,3
data-foxnews,3
data-however,3
data-inquiry,3
data-just,3
data-private,3
data-safe,3
data-there,3
data-used,3
data-we,3
data-what,3
deletefacebook-31,3
deletefacebook-a,3
deletefacebook-account,3
deletefacebook-calstrs,3
deletefacebook-craze,3
deletefacebook-dear,3
deletefacebook-deleteyourfacebookaccount,3
deletefacebook-en,3
deletefacebook-facebookdatabreach,3
deletefacebook-foxnews,3
deletefacebook-had,3
deletefacebook-here,3
deletefacebook-im,3
deletefacebook-last,3
deletefacebook-mark,3
deletefacebook-media,3
deletefacebook-scandal,3
deletefacebook-sherylsandberg,3
deletefacebook-there,3
deletefacebook-today,3
deletefacebook-well,3
deletefacebook-wo,3
deletefacebook-yet,3
facebook-2,3
facebook-ai,3
facebook-algorithms,3
facebook-allowed,3
facebook-allows,3
facebook-alternative,3
facebook-amid,3
facebook-among,3
facebook-anymore,3
facebook-ar,3
facebook-banned,3
facebook-been,3
facebook-breaking,3
facebook-cant,3
facebook-cia,3
facebook-close,3
facebook-cnn,3
facebook-contentmarketing,3
facebook-continues,3
facebook-controversy,3
facebook-crisis,3
facebook-cybersecurity,3
facebook-damps,3
facebook-databreaches,3
facebook-days,3
facebook-delete,3
facebook-devalued,3
facebook-drops,3
facebook-e,3
facebook-edu00a0u00bcedu00bfu009b,3
facebook-employee,3
facebook-engagement,3
facebook-every,3
facebook-facebookads,3
facebook-facebooklive,3
facebook-fakebook,3
facebook-fallout,3
facebook-finally,3
facebook-free,3
facebook-friend,3
facebook-fuck,3
facebook-gives,3
facebook-haiku,3
facebook-healthcare,3
facebook-here,3
facebook-hi,3
facebook-hipaa,3
facebook-hits,3
facebook-however,3
facebook-hurt,3
facebook-infosec,3
facebook-insights,3
facebook-introduces,3
facebook-ireland,3
facebook-jesus,3
facebook-labels,3
facebook-lack,3
facebook-latest,3
facebook-lilich,3
facebook-login,3
facebook-marketplace,3
facebook-mlm,3
facebook-mondaymotivation,3
facebook-most,3
facebook-newsfeed,3
facebook-nnfacebook,3
facebook-nnthe,3
facebook-nowplaying,3
facebook-nstay,3
facebook-oh,3
facebook-one,3
facebook-only,3
facebook-paused,3
facebook-people,3
facebook-phone,3
facebook-plan,3
facebook-prescientinfo,3
facebook-promises,3
facebook-qanon,3
facebook-read,3
facebook-realdonaldtrump,3
facebook-realjameswoods,3
facebook-replace,3
facebook-retweet,3
facebook-reveals,3
facebook-rt,3
facebook-rtrt,3
